"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Isurus oxyrinchus","Isurus oxyrinchus","species","Mako à nageoires courtes","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus"
"Dermochelys coriacea","Dermochelys coriacea","species","Tortue luth","Animalia","Chordata","Testudines","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea"
"Sistrurus catenatus catenatus","Sistrurus catenatus","species","","Animalia","Chordata","Squamata","Squamata","Viperidae","Sistrurus","Sistrurus catenatus"
"Nerodia sipedon","Nerodia sipedon","species","Couleuvre d'eau","Animalia","Chordata","Squamata","Squamata","Colubridae","Nerodia","Nerodia sipedon"
"Nerodia sipedon insularum","Nerodia sipedon insularum","subspecies","","Animalia","Chordata","Squamata","Squamata","Colubridae","Nerodia","Nerodia sipedon"
"Amia calva","Amia calva","species","Poisson-castor","Animalia","Chordata","Holostei","Amiiformes","Amiidae","Amia","Amia calva"
"Ameiurus nebulosus","Ameiurus nebulosus","species","Barbotte brune","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"Aplodinotus grunniens","Aplodinotus grunniens","species","Malachigan","Animalia","Chordata","Teleostei","Perciformes","Sciaenidae","Aplodinotus","Aplodinotus grunniens"
"Catostomus commersonii","Catostomus commersonii","species","","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii"
"Carpiodes cyprinus","Carpiodes cyprinus","species","Couette","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Carpiodes","Carpiodes cyprinus"
"Esox lucius","Esox lucius","species","Grand brochet","Animalia","Chordata","Teleostei","Esociformes","Esocidae","Esox","Esox lucius"
"Dorosoma cepedianum","Dorosoma cepedianum","species","Alose à gésier","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Dorosoma","Dorosoma cepedianum"
"Ictalurus punctatus","Ictalurus punctatus","species","Barbue de rivière","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ictalurus","Ictalurus punctatus"
"Lepomis gibbosus","Lepomis gibbosus","species","Crapet-soleil","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis gibbosus"
"Lepisosteus osseus","Lepisosteus osseus","species","Lépisosté osseux","Animalia","Chordata","Holostei","Lepisosteiformes","Lepisosteidae","Lepisosteus","Lepisosteus osseus"
"Moxostoma macrolepidotum","Moxostoma macrolepidotum","species","Chevalier rouge","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma macrolepidotum"
"Moxostoma anisurum","Moxostoma anisurum","species","Chevalier blanc","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma anisurum"
"Micropterus salmoides","Micropterus salmoides","species","Achigan à grande bouche","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Micropterus","Micropterus salmoides"
"Percopsis omiscomaycus","Percopsis omiscomaycus","species","Omisco","Animalia","Chordata","Teleostei","Percopsiformes","Percopsidae","Percopsis","Percopsis omiscomaycus"
"Noturus flavus","Noturus flavus","species","Barbotte des rapides","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Noturus","Noturus flavus"
"Notropis hudsonius","Notropis hudsonius","species","Queue à tache noire","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Notropis","Notropis hudsonius"
"Pomoxis nigromaculatus","Pomoxis nigromaculatus","species","Marigane noire","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Pomoxis","Pomoxis nigromaculatus"
"Sander vitreus","Sander vitreus","species","Doré jaune","Animalia","Chordata","Teleostei","Perciformes","Percidae","Sander","Sander vitreus"
"Anchoa mitchilli","Anchoa mitchilli","species","Anchois américain","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli"
"Canis lupus","Canis lupus","species","Loup","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"Gyrinophilus porphyriticus","Gyrinophilus porphyriticus","species","Salamandre pourpre","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Gyrinophilus","Gyrinophilus porphyriticus"
"Eurycea bislineata","Eurycea bislineata","species","Salamandre à deux lignes","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","Eurycea bislineata"
"Desmognathus ochrophaeus","Desmognathus ochrophaeus","species","","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus ochrophaeus"
"Orcinus orca","Orcinus orca","species","Épaulard","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca"
"Larus marinus","Larus marinus","species","Goéland marin","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus marinus"
"Rangifer tarandus caribou","Rangifer tarandus caribou","subspecies","Caribou des bois","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus"
"Coregonus zenithicus","Coregonus zenithicus","species","Cisco à mâchoires égales","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus zenithicus"
"Coregonus hoyi","Coregonus hoyi","species","","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus hoyi"
"Coregonus artedi","Coregonus artedi","species","Cisco de lac","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus artedi"
"Macrhybopsis storeriana","Macrhybopsis storeriana","species","Méné à grandes écailles","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Macrhybopsis","Macrhybopsis storeriana"
"Anser caerulescens atlanticus","Anser caerulescens atlanticus","subspecies","","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser caerulescens"
"Notophthalmus viridescens louisianensis","Notophthalmus viridescens","species","","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Notophthalmus","Notophthalmus viridescens"
"Sphyrna lewini","Sphyrna lewini","species","Grand requin marteau","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna lewini"
"Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","species","Saumon rose","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha"
"Ursus maritimus","Ursus maritimus","species","Ours blanc","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus"
"Neogobius melanostomus","Neogobius melanostomus","species","Gobie à taches noires","Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Neogobius","Neogobius melanostomus"
"Lota lota","Lota lota","species","Lotte","Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Lota","Lota lota"
"Prosopium cylindraceum","Prosopium cylindraceum","species","Ménomini rond","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Prosopium","Prosopium cylindraceum"
"Oncorhynchus mykiss","Oncorhynchus mykiss","species","Truite arc-en-ciel","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Lepomis macrochirus","Lepomis","genus","","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis macrochirus"
"Moxostoma carinatum","Moxostoma carinatum","species","Chevalier de rivière","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma carinatum"
"Moxostoma valenciennesi","Moxostoma valenciennesi","species","Chevalier jaune","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma valenciennesi"
"Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","species","Saumon chinook","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha"
